All Stir Fry,https://www.tripadvisor.com/Restaurant_Review-g304554-d785384-Reviews-All_Stir_Fry-Mumbai_Bombay_Maharashtra.html,Loved the experience and the food was good...,Good food for good value..,,,
Vista,https://www.tripadvisor.com/Restaurant_Review-g304554-d1139275-Reviews-Vista-Mumbai_Bombay_Maharashtra.html,Coffee shop with a view!,Buffet with limited choice for vegetarians,,,
Hakkasan,https://www.tripadvisor.com/Restaurant_Review-g304554-d2169912-Reviews-Hakkasan-Mumbai_Bombay_Maharashtra.html,Super asian food,Great time with new Friends,,,
Quesso Ristorante,https://www.tripadvisor.com/Restaurant_Review-g304554-d3547269-Reviews-Quesso_Ristorante-Mumbai_Bombay_Maharashtra.html,Pure Veg. Restaurant & Bar,Good Place Good Food,,,
Soma (Indian Cuisine) at Grand Hyatt Mumbai,https://www.tripadvisor.com/Restaurant_Review-g304554-d1078208-Reviews-Soma_Indian_Cuisine_at_Grand_Hyatt_Mumbai-Mumbai_Bombay_Maharashtra.html,Best Indian cuisine restaurant in Mumbai,A wonderful experience,,,
Urban Tadka,https://www.tripadvisor.com/Restaurant_Review-g304554-d1063479-Reviews-Urban_Tadka-Mumbai_Bombay_Maharashtra.html,Good Experience,Fabulous Pinjabi Food !!!!,,,
5 Spice,https://www.tripadvisor.com/Restaurant_Review-g304554-d808784-Reviews-5_Spice-Mumbai_Bombay_Maharashtra.html,Desi Chinese at its best!,Huge portions!,,,
Todi Mill Social,https://www.tripadvisor.com/Restaurant_Review-g304554-d8279441-Reviews-Todi_Mill_Social-Mumbai_Bombay_Maharashtra.html,todi mills social,Best Hangout Place,,,
San-Qi,https://www.tripadvisor.com/Restaurant_Review-g304554-d2516988-Reviews-San_Qi-Mumbai_Bombay_Maharashtra.html,Ok but confusing,Good Chinese food,,,
Pa Pa Ya,https://www.tripadvisor.com/Restaurant_Review-g304554-d8514508-Reviews-Pa_Pa_Ya-Mumbai_Bombay_Maharashtra.html,Mumbai's Best Multi Cuisine Restaurant!,excellent experience,,,
Persian Darbar,https://www.tripadvisor.com/Restaurant_Review-g304554-d1106852-Reviews-Persian_Darbar-Mumbai_Bombay_Maharashtra.html,Superb ambience. Authentic Mughlai food.,very good restaurant,,,
Kangan,https://www.tripadvisor.com/Restaurant_Review-g304554-d2315464-Reviews-Kangan-Mumbai_Bombay_Maharashtra.html,Must visit!!,Another winner at Westin,,,
Masala Kraft,https://www.tripadvisor.com/Restaurant_Review-g304554-d2399532-Reviews-Masala_Kraft-Mumbai_Bombay_Maharashtra.html,An amazing experience,Good Place for Dinner,,,
By the Mekong,https://www.tripadvisor.com/Restaurant_Review-g304554-d6929570-Reviews-By_the_Mekong-Mumbai_Bombay_Maharashtra.html,Good Chinese,Tickle your taste buds while overlooking t...,,,
Frangipani,https://www.tripadvisor.com/Restaurant_Review-g304554-d1072820-Reviews-Frangipani-Mumbai_Bombay_Maharashtra.html,FRANGIPANI THE WEAKNESS OF ALL,FRANGIPANI AT OBEROI,,,
The Good Wife,https://www.tripadvisor.com/Restaurant_Review-g304554-d7687955-Reviews-The_Good_Wife-Mumbai_Bombay_Maharashtra.html,Good ambience,Good Place in BKC,,,
Dakshin Coastal,https://www.tripadvisor.com/Restaurant_Review-g304554-d1370074-Reviews-Dakshin_Coastal-Mumbai_Bombay_Maharashtra.html,Great Dinner,Reliving Kerala food in Mumbai,,,
Beluga,https://www.tripadvisor.com/Restaurant_Review-g304554-d2636548-Reviews-Beluga-Mumbai_Bombay_Maharashtra.html,Fantastic place to hangout after work.,Great place to relax.,,,
The Irish House,https://www.tripadvisor.com/Restaurant_Review-g304554-d2524644-Reviews-The_Irish_House-Mumbai_Bombay_Maharashtra.html,fun,Chilled Beer!,,,
Leopold,https://www.tripadvisor.com/Restaurant_Review-g304554-d1138806-Reviews-Leopold-Mumbai_Bombay_Maharashtra.html,Good Food + Booze,You can still see the bullet holes!,,,
Palladium Social,https://www.tripadvisor.com/Restaurant_Review-g304554-d8730987-Reviews-Palladium_Social-Mumbai_Bombay_Maharashtra.html,Value for Money and Super Cocktails,Value for money,,,
Chetana,https://www.tripadvisor.com/Restaurant_Review-g304554-d1007806-Reviews-Chetana-Mumbai_Bombay_Maharashtra.html,A Veg Delight,Undhiyo to die for,,,
Indigo Deli,https://www.tripadvisor.com/Restaurant_Review-g304554-d3242577-Reviews-Indigo_Deli-Mumbai_Bombay_Maharashtra.html,"GOOD FOOD, AVERAGE SERVICE !",More than just a cafe!,,,
Sigree Global Grill,https://www.tripadvisor.com/Restaurant_Review-g304554-d7087792-Reviews-Sigree_Global_Grill-Mumbai_Bombay_Maharashtra.html,"Good fun, interactive cooking",Just Awesome !!!,,,
Bhagat Tarachand,https://www.tripadvisor.com/Restaurant_Review-g1532344-d8125667-Reviews-Bhagat_Tarachand-Navi_Mumbai_Mumbai_Bombay_Maharashtra.html,Absolute value for money,Awesome vegetarian food,,,
Four Seasons Hotel,https://www.tripadvisor.com/Restaurant_Review-g304554-d1069430-Reviews-Four_Seasons_Hotel-Mumbai_Bombay_Maharashtra.html,The place to stay in Mumbai,My kitchen while being away from home!!,,,
